Title,Author,State,District,Date,Ban Status,lat,lon,year
Fade (Wake Series),"McMann, Lisa",Texas,Fredericksburg Independent School District,2022-03-01,Banned in Libraries and Classrooms,31.054487,-97.563461,2022.0
"Nonbinary Gender Identities: History, Culture, Resources","McNabb, Charlie",Tennessee,Collierville Schools,2022-02-01,Banned in Libraries and Classrooms,35.747845,-86.692345,2022.0
#MurderTrending (MurderTrending Series),"McNeil, Gretchen",Kansas,Goddard Public Schools,2021-11-01,Banned Pending Investigation,38.5266,-96.726486,2021.0
Lola at the Library (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Lola at the Library with Mommy (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Lola Gets a Cat (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Lola Goes to School (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Lola Loves Stories (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Lola Loves Stories with Daddy (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Lola Plants a Garden (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Lola Reads to Leo (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Lola Sleeps Over (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Act Cool,"McSmith, Tobly",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Stay Gold,"McSmith, Tobly",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Vampire Academy (Vampire Academy Series),"Mead, Richelle",Florida,Indian River County School District,2021-11-01,Banned in Libraries,27.766279,-81.686783,2021.0
Vampire Academy (Vampire Academy Series),"Mead, Richelle",Michigan,Gladwin Community Schools,2022-05-01,Banned Pending Investigation,43.326618,-84.536095,2022.0
Lubna and Pebble,"Meddour, Wendy",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Lubna and Pebble,"Meddour, Wendy",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Juana & Lucas (Juana and Lucas Series),"Medina, Juana",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Burn Baby Burn,"Medina, Meg",Indiana,Middlebury Community Schools,2021-12-01,Banned in Libraries,39.849426,-86.258278,2021.0
Burn Baby Burn,"Medina, Meg",Texas,Richardson Independent School District,2021-09-01,Banned in Classrooms,31.054487,-97.563461,2021.0
"Mango, Abuela, and Me","Medina, Meg",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Yaqui Delgado Wants to Kick Your Ass,"Medina, Meg",Florida,Indian River County School District,2021-11-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2021.0
What Was Stonewall? (What was...? Series),"Medina, Nico",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Who Was Aretha Franklin? (Who was...? Series),"Medina, Nico",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
I Am Alfonso Jones,"Medina, Tony",Florida,Indian River County School District,2021-11-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2021.0
We Set the Dark on Fire (We Set the Dark on Fire Series),"Mejia, Tehlor Kay",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
